datetime,temperature,humidity
2023-02-10 23:23:11.776491,18.9,48.3
2023-02-10 23:33:12.224639,18.3,49.9
2023-02-10 23:43:12.676887,18.2,50.2
2023-02-10 23:53:13.124576,18,50.5
2023-02-11 00:03:13.574561,17.9,50.7
2023-02-11 00:13:14.024605,17.7,50.8
2023-02-11 00:23:14.474574,17.6,51
2023-02-11 00:33:14.924548,17.5,51.1
2023-02-11 00:43:15.374771,17.4,51.5
2023-02-11 00:53:15.824661,17.2,51.6
2023-02-11 01:03:18.628535,17.1,52.1
2023-02-11 01:13:19.074607,17,52.4
2023-02-11 01:23:19.524663,16.8,52.6
2023-02-11 01:33:19.974531,16.7,53
2023-02-11 01:43:20.424567,16.6,53.2
2023-02-11 01:53:20.834430,16.6,53.7
2023-02-11 02:03:21.284563,16.5,53.8
2023-02-11 02:13:21.736970,16.5,54.1
2023-02-11 02:23:22.184578,16.4,54.4
2023-02-11 02:33:22.634580,16.3,54.4
2023-02-11 02:43:23.084677,16.2,54.8
2023-02-11 02:53:23.534629,16.2,55.3
2023-02-11 03:03:23.984605,16.1,55.9
2023-02-11 03:13:24.434616,16,56
2023-02-11 03:23:24.884598,16,56.3
2023-02-11 03:33:25.334602,15.9,56.3
2023-02-11 03:43:25.784554,15.8,56.5
2023-02-11 03:53:26.234683,15.7,56.5
2023-02-11 04:03:26.684651,15.7,56.9
2023-02-11 04:13:27.134592,15.6,56.9
2023-02-11 04:23:27.584574,15.6,57.2
2023-02-11 04:33:28.034524,15.5,56.9
2023-02-11 04:43:28.484539,15.4,57
2023-02-11 04:53:28.887594,15.4,57.1
2023-02-11 05:03:29.334672,15.3,57.1
2023-02-11 05:13:29.784650,15.3,57.3
2023-02-11 05:23:30.234551,15.3,57.3
2023-02-11 05:33:30.684706,15.3,57.1
2023-02-11 05:43:31.134528,15.4,57.5
2023-02-11 05:53:31.586886,15.8,56.9
2023-02-11 06:03:32.034689,16.4,56.1
2023-02-11 06:13:37.192980,17,54.8
2023-02-11 06:23:37.644630,17.6,54.6
2023-02-11 06:33:38.096975,18.1,53.7
2023-02-11 06:43:38.544604,18.4,52.9
2023-02-11 06:53:41.348502,18.6,52.5
2023-02-11 07:03:41.794540,18.8,52.3
2023-02-11 07:13:42.244523,18.8,52.2
2023-02-11 07:23:42.694571,18.7,51.9
2023-02-11 07:33:43.144563,18.7,52.2
2023-02-11 07:43:43.594567,18.7,52.4
2023-02-11 07:53:44.044735,18.9,51.7
